date_found,channel,video_title,url,published_date,views,duration,pillar,hook_type,title_formula,thumbnail_text,thumbnail_layout,thumbnail_colors,comment_themes,idea_signal
Doctor Laura,Doctor Laura - YouTube,,,https://www.youtube.com/@DoctorLaura-e1w1o,New upload from scan
Dr. James Hargrove,Dr. James Hargrove | Senior Health Tips - YouTube,,,https://www.youtube.com/@Dr.JamesHargrove,New upload from scan
Dr. James Hargrove,Dr. James Hargrove | Senior Health Tips - YouTube Music,,,https://music.youtube.com/@Dr.JamesHargrove,New upload from scan
Dr. James Hargrove,Dr. James Hargrove | Senior Health Tips & Advice - YouTube Music,,,https://music.youtube.com/playlist?list=PL_UCLgmspbmM9blkGo4lJrO4p1ZwA6dr_,New upload from scan
Dr. Michael Kent,The REAL Cause of High Blood Pressure (And How to Fix It),,,https://www.youtube.com/watch?v=L8c1tN4Ers4,New upload from scan
Dr. Michael Kent,Dr. Michael Kent | Healthy Life 50+ - YouTube,,,https://www.youtube.com/@Dr.MichaelKentHealthyLife50,New upload from scan
Dr. Michael Kent,I am a Surgeon and I would NEVER recommend these 5 surgeries ...,,,https://www.youtube.com/watch?v=-1GkVP3a4H4,New upload from scan
Dr. Adewale,Dr. Adewale - YouTube,,,https://www.youtube.com/@Dr.Adewale,New upload from scan
Dr. Adewale,He died in his sleep because of this! I beg you stop doing ... - YouTube,,,https://www.youtube.com/watch?v=Q1WkEyV-Xeg,New upload from scan
Dr. Adewale,5 Easy Ways SENIORS Can Lower Blood Pressure with Food,,,https://www.youtube.com/watch?v=uI-cdtifvSI,New upload from scan
