date_found,channel,video_title,url,published_date,views,duration,pillar,hook_type,title_formula,thumbnail_text,thumbnail_layout,thumbnail_colors,comment_themes,idea_signal
2026-05-26,Doctor Laura,THIS $0 KITCHEN BITTER REBUILDS Your Stomach Acid After 60,https://www.youtube.com/watch?v=nFgSQLYd_1M,2026-05-24,462,22.6,Food + Warning,Age-targeted warning,Custom,,,,,LOW — Too early to assess
2026-05-26,Doctor Laura,DRY MOUTH AND DRY EYES ALL DAY? IT'S NOT AGING — IT'S THE AUTOIMMUNE DISEASE 4 MILLION SENIORS HAVE,https://www.youtube.com/watch?v=P6JDs8jfsbM,2026-05-22,1977,25.2,Medication Warning,Question hook,Custom,,,,,LOW — Too early to assess
2026-05-26,Doctor Laura,Your Belly Bloat Isn't Fat — Here's What It Really Is (And the $0.50 Seed That Helps),https://www.youtube.com/watch?v=y5nTpS8lLfw,2026-05-20,1003,18.4,Food + Warning,Informational,Custom,,,,,LOW — Too early to assess
2026-05-26,Dr. James Hargrove,STOOL STUCK in the RECTUM After 60! What It Is and What To Do IMMEDIATELY,https://www.youtube.com/watch?v=EXe9HM0WZPE,2026-05-21,538,19.7,Medication Warning,Age-targeted warning,Custom,,,,,LOW — Too early to assess
2026-05-26,Dr. James Hargrove,Doctor WARNS: 4 WORST Yogurts You Should NEVER Eat and 4 You MUST Eat Daily After 60,https://www.youtube.com/watch?v=GfXMqG0aDaU,2026-05-19,2196,16.8,Food + Warning,NEVER warning,NEVER [Verb] [Items] After 60,,,,,LOW — Too early to assess
2026-05-26,Dr. Michael Kent,Doctor REVEALS How to drink water to avoid getting up at night,https://www.youtube.com/watch?v=gsCFaEIkDdc,2026-05-23,2336,21.6,Food + Warning,Revelation,Custom,,,,,LOW — Too early to assess
2026-05-26,Dr. Michael Kent,Stool Stuck in the Rectum! What Is It and What To Do? – Doctor Explains,https://www.youtube.com/watch?v=icvY4d9vKCE,2026-05-20,2246,30.7,Body Shock / Embarrassing Health,Question hook,Custom,,,,,LOW — Too early to assess
2026-05-26,Dr. Adewale,"How Too Much ""Healthy"" Exercise Can Break Your Heart",https://www.youtube.com/watch?v=b8tKKrV4Nfc,2026-05-25,340,25.9,Food + Warning,Informational,Custom,,,,,LOW — Too early to assess
2026-05-26,Dr. Adewale,3 Common BP Meds Toxic for Seniors (Stop Blaming Aging!),https://www.youtube.com/watch?v=gj5xWzyiARE,2026-05-23,1491,23.4,Medication Warning,STOP warning,Custom,,,,,LOW — Too early to assess
2026-05-26,Dr. Adewale,The Hidden Reason Older Adults Smell (And How to Fix It in 1 Shower),https://www.youtube.com/watch?v=p724QEQAqVM,2026-05-19,6155,24.2,Food + Warning,Informational,Custom,,,,,LOW — Too early to assess
2026-05-26,Dr. Favor Adeyemi,4 Health Screenings I’d NEVER Choose After 65 (a doctor explains why),https://www.youtube.com/watch?v=_35u7GhayBE,2026-05-22,0,17.5,Brain / Memory,NEVER warning,NEVER [Verb] [Items] After 60,,,,,LOW — Too early to assess
2026-05-26,Doctor Leana,You're Taking Creatine WRONG After 50 — A Doctor Reveals the 30% Rule,https://www.youtube.com/watch?v=wg5gYacFnaA,2026-05-25,650,14.1,Food + Warning,Revelation,Custom,,,,,LOW — Too early to assess
2026-05-26,Doctor Leana,This Drink REGROWS Stem Cells & MELTS Visceral Fat (Shocking Proof) | Doctor Leana,https://www.youtube.com/watch?v=55iXqJjKVhw,2026-05-24,3617,15.0,Food + Warning,Informational,Custom,,,,,LOW — Too early to assess
