date_found,channel,video_title,url,published_date,views,duration,pillar,hook_type,title_formula,thumbnail_text,thumbnail_layout,thumbnail_colors,comment_themes,idea_signal
2026-05-25,Doctor Laura,THIS $0 KITCHEN BITTER REBUILDS Your Stomach Acid After 60,https://www.youtube.com/watch?v=nFgSQLYd_1M,2026-05-24,326,22.6,Food + Warning,Age-targeted warning,Custom,,,,,LOW — Too early to assess
2026-05-25,Doctor Laura,DRY MOUTH AND DRY EYES ALL DAY? IT'S NOT AGING — IT'S THE AUTOIMMUNE DISEASE 4 MILLION SENIORS HAVE,https://www.youtube.com/watch?v=P6JDs8jfsbM,2026-05-22,1852,25.2,Medication Warning,Question hook,Custom,,,,,LOW — Too early to assess
2026-05-25,Doctor Laura,Your Belly Bloat Isn't Fat — Here's What It Really Is (And the $0.50 Seed That Helps),https://www.youtube.com/watch?v=y5nTpS8lLfw,2026-05-20,959,18.4,Food + Warning,Informational,Custom,,,,,LOW — Too early to assess
2026-05-25,Dr. James Hargrove,STOOL STUCK in the RECTUM After 60! What It Is and What To Do IMMEDIATELY,https://www.youtube.com/watch?v=EXe9HM0WZPE,2026-05-21,462,19.7,Medication Warning,Age-targeted warning,Custom,,,,,LOW — Too early to assess
2026-05-25,Dr. James Hargrove,Doctor WARNS: 4 WORST Yogurts You Should NEVER Eat and 4 You MUST Eat Daily After 60,https://www.youtube.com/watch?v=GfXMqG0aDaU,2026-05-19,2111,16.8,Food + Warning,NEVER warning,NEVER [Verb] [Items] After 60,,,,,LOW — Too early to assess
2026-05-25,Dr. James Hargrove,Doctor WARNS: 3 Teas Open Blood Vessels in Your Legs and Walk Strong Again After 60,https://www.youtube.com/watch?v=9eMKxyTda7g,2026-05-18,460,14.9,Food + Warning,Authority warning,Custom,,,,,LOW — Too early to assess
2026-05-25,Dr. Michael Kent,Doctor REVEALS How to drink water to avoid getting up at night,https://www.youtube.com/watch?v=gsCFaEIkDdc,2026-05-23,1488,21.6,Food + Warning,Revelation,Custom,,,,,LOW — Too early to assess
2026-05-25,Dr. Michael Kent,Stool Stuck in the Rectum! What Is It and What To Do? – Doctor Explains,https://www.youtube.com/watch?v=icvY4d9vKCE,2026-05-20,1934,30.7,Body Shock / Embarrassing Health,Question hook,Custom,,,,,LOW — Too early to assess
2026-05-25,Dr. Adewale,3 Common BP Meds Toxic for Seniors (Stop Blaming Aging!),https://www.youtube.com/watch?v=gj5xWzyiARE,2026-05-23,1057,23.4,Medication Warning,STOP warning,Custom,,,,,LOW — Too early to assess
2026-05-25,Dr. Adewale,The Hidden Reason Older Adults Smell (And How to Fix It in 1 Shower),https://www.youtube.com/watch?v=p724QEQAqVM,2026-05-19,5707,24.2,Food + Warning,Informational,Custom,,,,,LOW — Too early to assess
2026-05-25,Dr. Favor Adeyemi,CAN'T WALK STRAIGHT ANYMORE? THIS IS THE WARNING SIGN MOST DOCTORS WILL NEVER TELL YOU ABOUT,https://www.youtube.com/watch?v=Sd4MbU1gM9w,2026-05-24,288,18.8,Food + Warning,NEVER warning,NEVER [Verb] [Items] After 60,,,,,LOW — Too early to assess
