date_found,channel,video_title,url,published_date,views,duration,pillar,hook_type,title_formula,thumbnail_text,thumbnail_layout,thumbnail_colors,comment_themes,idea_signal
2026-05-28,Doctor Laura,10 MINUTES A DAY — INNER THIGH FAT FINALLY MELTS OFF,https://www.youtube.com/watch?v=wHQyNwazrwE,2026-05-27,611,24.3,Food + Warning,Informational,[Time] [Action] After 60,,,,,LOW — Too early to assess
2026-05-28,Doctor Laura,What a Mini-Stroke Looks Like Before the Big One Hits,https://www.youtube.com/watch?v=M6SLewo5AyM,2026-05-26,741,22.8,Food + Warning,Informational,Custom,,,,,LOW — Too early to assess
2026-05-28,Doctor Laura,THIS $0 KITCHEN BITTER REBUILDS Your Stomach Acid After 60,https://www.youtube.com/watch?v=nFgSQLYd_1M,2026-05-24,560,22.6,Food + Warning,Age-targeted warning,Custom,,,,,LOW — Too early to assess
2026-05-28,Doctor Laura,DRY MOUTH AND DRY EYES ALL DAY? IT'S NOT AGING — IT'S THE AUTOIMMUNE DISEASE 4 MILLION SENIORS HAVE,https://www.youtube.com/watch?v=P6JDs8jfsbM,2026-05-22,2135,25.2,Medication Warning,Question hook,Custom,,,,,LOW — Too early to assess
2026-05-28,Dr. James Hargrove,Doctor WARNS: 5 Early Dementia Signs After 60 (It's NOT Memory),https://www.youtube.com/watch?v=CeGE8hL8pGQ,2026-05-27,126,15.2,Brain / Memory,Authority warning,Custom,,,,,LOW — Too early to assess
2026-05-28,Dr. James Hargrove,Doctor WARNS: 6 Medications That Skyrocket Heart Attack Risk After 60,https://www.youtube.com/watch?v=xMcmBd9E_Eo,2026-05-26,471,20.1,Medication Warning,Authority warning,Custom,,,,,LOW — Too early to assess
2026-05-28,Dr. James Hargrove,STOOL STUCK in the RECTUM After 60! What It Is and What To Do IMMEDIATELY,https://www.youtube.com/watch?v=EXe9HM0WZPE,2026-05-21,654,19.7,Medication Warning,Age-targeted warning,Custom,,,,,LOW — Too early to assess
2026-05-28,Dr. Michael Kent,Why Healthy People Still Have High Blood Pressure (Hidden Cause),https://www.youtube.com/watch?v=efE27656DnI,2026-05-27,764,23.3,Food + Warning,Informational,Custom,,,,,LOW — Too early to assess
2026-05-28,Dr. Michael Kent,Doctor REVEALS How to drink water to avoid getting up at night,https://www.youtube.com/watch?v=gsCFaEIkDdc,2026-05-23,2882,21.6,Food + Warning,Revelation,Custom,,,,,LOW — Too early to assess
2026-05-28,Dr. Adewale,Colon Cancer Is Exploding — Have We Finally Found The Real Cause?,https://www.youtube.com/watch?v=MHx2D49EkyA,2026-05-26,685,25.3,Cancer Prevention,Question hook,Custom,,,,,LOW — Too early to assess
2026-05-28,Dr. Adewale,"How Too Much ""Healthy"" Exercise Can Break Your Heart",https://www.youtube.com/watch?v=b8tKKrV4Nfc,2026-05-25,521,25.9,Food + Warning,Informational,Custom,,,,,LOW — Too early to assess
2026-05-28,Dr. Adewale,3 Common BP Meds Toxic for Seniors (Stop Blaming Aging!),https://www.youtube.com/watch?v=gj5xWzyiARE,2026-05-23,2579,23.4,Medication Warning,STOP warning,Custom,,,,,LOW — Too early to assess
2026-05-28,Dr. Favor Adeyemi,"STOP Taking Magnesium Glycinate After 65! This Food Work 1000,00X Better",https://www.youtube.com/watch?v=CsXhhVZntEQ,2026-05-27,404,17.1,Food + Warning,STOP warning,Custom,,,,,LOW — Too early to assess
2026-05-28,Dr. Favor Adeyemi,THE HIDDEN KIDNEY DESTROYER: THE COMMON KITCHEN INGREDIENT TOP BEST DOCTORS WARN AGAINST.,https://www.youtube.com/watch?v=CfTQyssuQMY,2026-05-26,1185,16.7,Food + Warning,Authority warning,Custom,,,,,LOW — Too early to assess
2026-05-28,Dr. Favor Adeyemi,What's the REAL Ideal Blood Pressure After 60? The Answer Will Amaze You,https://www.youtube.com/watch?v=YopdiHacc2w,2026-05-25,1325,15.8,Heart Attack / Stroke Warning,Question hook,Custom,,,,,LOW — Too early to assess
2026-05-28,Dr. Favor Adeyemi,CAN'T WALK STRAIGHT ANYMORE? THIS IS THE WARNING SIGN MOST DOCTORS WILL NEVER TELL YOU ABOUT,https://www.youtube.com/watch?v=Sd4MbU1gM9w,2026-05-24,773,18.8,Food + Warning,NEVER warning,NEVER [Verb] [Items] After 60,,,,,LOW — Too early to assess
2026-05-28,Dr. Favor Adeyemi,After 65? Add This ONE Ingredient to Beet Juice And Double The Blood Flow Effect After,https://www.youtube.com/watch?v=zFjs1d65wF8,2026-05-23,2855,15.6,Leg / Circulation,Question hook,Custom,,,,,LOW — Too early to assess
2026-05-28,Dr. Favor Adeyemi,UROLOGIST REVEALS: HOW TO DRINK WATER TO AVOID GETTING UP AT NIGHT,https://www.youtube.com/watch?v=B4zSO3-IiFI,2026-05-22,6218,16.9,Food + Warning,Revelation,Custom,,,,,LOW — Too early to assess
2026-05-28,Dr. Favor Adeyemi,Neurologist Reveals: The 50-60 Second Exercise to Recover Your Memory,https://www.youtube.com/watch?v=2H20rd_K8Fw,2026-05-21,1188,14.7,Leg / Circulation,Revelation,[Time] [Action] After 60,,,,,LOW — Too early to assess
2026-05-28,Doctor Leana,This Forgotten Herb STARVES Colon Tumors & Rebuilds Your Gut Lining – Eat This Daily | Dr Leana,https://www.youtube.com/watch?v=sgXUgM6XOk0,2026-05-26,832,32.2,Food + Warning,Forgotten revelation,This FORGOTTEN [Food] [Verb] [Claim],,,,,LOW — Too early to assess
