date_found,channel,video_title,url,published_date,views,duration,pillar,hook_type,title_formula,thumbnail_text,thumbnail_layout,thumbnail_colors,comment_themes,idea_signal
2026-05-17,Dr. Adewale,Does Your Blood Type Reveal Your Lifespan? The Truth About Longevity,https://www.youtube.com/watch?v=NnYzkL0XkaU,2026-04-30,200000,22,Longevity / Genetic Risk,Genetic revelation + personalized protocol,Does Your [Trait] Reveal Your [Outcome]? The Truth About [Topic],BLOOD TYPE + doctor pointing at graphic,Authority-forward layout,Red/yellow urgency colors,Personalized protocol requests; blood type questions,STRONG — First-mover opportunity for blood type + health risks angle
2026-05-17,Dr. James Hargrove,He Died In His Sleep From Doing This — Doctors Beg Seniors To Stop (Heart Attack & Stroke Warning),https://www.youtube.com/watch?v=xVuFClmUJnc,2026-05-14,860000,28,Heart Attack / Stroke Warning,Death fear + authority warning + multi-ID distribution,He Died [Circumstance] From Doing This — Doctors Beg Seniors To Stop ([Condition] Warning),Death scene + warning text,Dark/urgent layout,Red/black danger colors,Personal loss stories; fear-driven sharing,MEDIUM — Format proven but increasingly saturated by Hargrove
2026-05-17,Doctor Leana,This FORGOTTEN Seed TRIPLES Stem Cells & STARVES Cancer — Eat This Every Day,https://www.youtube.com/watch?v=Syu6pPfeTAQ,2026-04-26,340000,31,Stem Cell / Cancer Prevention,Forgotten food + dramatic health claim,This FORGOTTEN [Food] [Dramatic Verb] [Health Benefit] & [Dramatic Result],Seed/food close-up + TRIPLES STEM CELLS text,Natural/food layout,Green/natural palette,Where to buy; how much to take,STRONG — Proven formula, underserved by Dr. Victor Kane
2026-05-17,Dr. Richard Ben,No.1 Oncologist Reveals the SIMPLE Daily Habit That Prevents Cancer After 50,https://www.youtube.com/watch?v=Xrh-366gMys,2026-05-11,157000,54,Cancer Prevention,Authority + simplicity + daily habit,No.1 [Specialty] Reveals the SIMPLE Daily Habit That [Prevents] [Disease] After [Age],Doctor in white coat + SIMPLE HABIT text,Authority-forward layout,White coat + cancer ribbon,Specific food/habit questions; information-seeking,MEDIUM — Aspirational, low-friction, shareable
2026-05-17,Doctor Becker,This Common Healthy Habit Is Killing Your Stem Cells Every Day,https://www.youtube.com/watch?v=IP-KUmcAnQQ,2026-05-08,18000,39,Stem Cell / Lifestyle Warning,Common habit + hidden danger,This Common Healthy Habit Is Killing Your [Body System] Every Day,Habit image + KILLING text,Warning layout,Red/black danger colors,Questions about specific habits,MEDIUM — Reversal format proven, adapt for Dr. Victor Kane
2026-05-17,Dr. Rachel Foster,After 60? Nuts You MUST Eat — and Nuts You Should NEVER Eat,https://www.youtube.com/watch?v=dl88blLy7Hw,2026-05-10,313,25,Nutrition / Food Warning,MUST vs NEVER food framing,After 60? [Food Category] You MUST [Verb] — and [Food Category] You Should NEVER [Verb],Nuts + MUST/NEVER text,Split layout,Green/red contrast,Too early to tell,LOW — Early stage, but format is proven
2026-05-17,Dr. Rachel Foster,Cardiologist WARNS: NEVER Take B12 [This Way],https://www.youtube.com/watch?v=fWuEJ4RHJDQ,2026-05-09,,25,Supplement Warning,Authority warning + supplement danger,[Specialty] WARNS: NEVER [Verb] [Supplement] [Condition],B12 + warning text,Authority layout,Red/white medical colors,Too early to tell,MEDIUM — B12/supplement warning angle is novel and underserved
2026-05-17,Dr. Franklin,STOOL STUCK IN THE RECTUM! WHAT IS IT AND WHAT TO DO?,https://www.youtube.com/watch?v=QbmZFc1dW7A,2026-05-14,104000,20,Body Shock / Embarrassing Health,Embarrassing body problem + direct question,[EMBARRASSING BODY PROBLEM]! WHAT IS IT AND WHAT TO DO?,Bold red text on yellow,Tabloid-style layout,Red/yellow high contrast,Embarrassment; seeking help,LOW — Brand-risky for Dr. Victor Kane, monitor only
2026-05-17,Doctor Laura,WALK THIS WAY 15 MINUTES — IT DROPS BLOOD SUGAR MORE THAN METFORMIN,https://www.youtube.com/watch?v=-keQvhP3uMg,2026-05-17,210,14.7,Food + Warning,Informational,[Time] [Action] After 60,,,,,LOW — Too early to assess
2026-05-17,Doctor Laura,YOUR WRINKLES ARE NOT AGING — IT'S YOUR LIVER! THIS $1 MORNING DRINK REVERSES THEM IN WEEKS,https://www.youtube.com/watch?v=zegNqGI4cF0,2026-05-15,2774,26.7,Food + Warning,Informational,Custom,,,,,LOW — Too early to assess
