date_found,channel,video_title,url,published_date,views,duration,pillar,hook_type,title_formula,thumbnail_text,thumbnail_layout,thumbnail_colors,comment_themes,idea_signal
2026-05-20,Doctor Laura,WALK THIS WAY 15 MINUTES — IT DROPS BLOOD SUGAR MORE THAN METFORMIN,https://www.youtube.com/watch?v=-keQvhP3uMg,2026-05-17,615,14.7,Food + Warning,Informational,[Time] [Action] After 60,,,,,LOW — Too early to assess
2026-05-20,Doctor Laura,YOUR WRINKLES ARE NOT AGING — IT'S YOUR LIVER! THIS $1 MORNING DRINK REVERSES THEM IN WEEKS,https://www.youtube.com/watch?v=zegNqGI4cF0,2026-05-15,4379,26.7,Food + Warning,Informational,Custom,,,,,LOW — Too early to assess
2026-05-20,Doctor Laura,HANTAVIRUS IS SPREADING NOW — What Every Adult Over 60 Must Do This Week,https://www.youtube.com/watch?v=fIVsieaYYXc,2026-05-13,51285,27.4,General Health,Age-targeted warning,Custom,,,,,"MEDIUM — Solid performance, worth monitoring"
2026-05-20,Dr. James Hargrove,Doctor WARNS: 4 WORST Yogurts You Should NEVER Eat and 4 You MUST Eat Daily After 60,https://www.youtube.com/watch?v=GfXMqG0aDaU,2026-05-19,340,16.8,Food + Warning,NEVER warning,NEVER [Verb] [Items] After 60,,,,,LOW — Too early to assess
2026-05-20,Dr. James Hargrove,Doctor WARNS: 3 Teas Open Blood Vessels in Your Legs and Walk Strong Again After 60,https://www.youtube.com/watch?v=9eMKxyTda7g,2026-05-18,253,14.9,Food + Warning,Authority warning,Custom,,,,,LOW — Too early to assess
2026-05-20,Dr. James Hargrove,Cardiologist WARNS: This Cholesterol Drug Is DESTROYING Your Brain After 60 - Stop Taking It NOW,https://www.youtube.com/watch?v=YUuJ-vy_lcI,2026-05-18,848,14.3,Medication Warning,STOP warning,Custom,,,,,LOW — Too early to assess
2026-05-20,Dr. James Hargrove,Cardiologist WARNS: Eat THIS One Food Before Bed and Your Heart Heals Overnight After 60,https://www.youtube.com/watch?v=GPMMx62nad0,2026-05-16,392,15.5,Food + Warning,Authority warning,Custom,,,,,LOW — Too early to assess
2026-05-20,Dr. James Hargrove,"Neurologist WARNS: If Your LEGS Feel HEAVY After 60, Your Body Is Missing 1 Critical Vitamin",https://www.youtube.com/watch?v=LxyM2l6zmNA,2026-05-15,409,14.2,Food + Warning,Authority warning,Your Body Is [Verb] [Claim],,,,,LOW — Too early to assess
2026-05-20,Dr. James Hargrove,"Neurologist WARNS: If Your NAILS Look Like THIS After 60, Your Body Is Hiding 7 Diseases",https://www.youtube.com/watch?v=8QdNwSpM0r8,2026-05-13,544,13.6,Heart Attack / Stroke Warning,Authority warning,Your Body Is [Verb] [Claim],,,,,LOW — Too early to assess
2026-05-20,Dr. Michael Kent,How to Eat Eggs Correctly If You Are Diabetic (To Keep Your Blood Sugar Under Control),https://www.youtube.com/watch?v=lvm89a32lHc,2026-05-17,941,23.2,Food + Warning,Informational,Custom,,,,,LOW — Too early to assess
